,date,county,state,fips,cases,deaths,POPESTIMATE2019,pct_republican,case_penetration,days_since_first_case,days_since_100th_case,days_since_05pct_penetration,case_growth_dod_abs,case_growth_dod_rel,case_growth_wow_abs,case_growth_wow_rel,days_to_double
0,2020-01-21,Snohomish,Washington,53061.0,1,0,822083.0,0.37482501541617835,1.2164221860809676e-06,1,-51.0,-60.0,,,,,
1,2020-01-22,Snohomish,Washington,53061.0,1,0,822083.0,0.37482501541617835,1.2164221860809676e-06,2,-50.0,-59.0,0.0,0.0,,,
2,2020-01-23,Snohomish,Washington,53061.0,1,0,822083.0,0.37482501541617835,1.2164221860809676e-06,3,-49.0,-58.0,0.0,0.0,,,
3,2020-01-24,Cook,Illinois,17031.0,1,0,5150233.0,0.20998973879084507,1.941659726851193e-07,1,-53.0,-64.0,,,,,
4,2020-01-24,Snohomish,Washington,53061.0,1,0,822083.0,0.37482501541617835,1.2164221860809676e-06,4,-48.0,-57.0,0.0,0.0,,,
5,2020-01-25,Orange,California,6059.0,1,0,3175692.0,0.4234982100522663,3.1489199834240855e-07,1,-58.0,,,,,,
6,2020-01-25,Cook,Illinois,17031.0,1,0,5150233.0,0.20998973879084507,1.941659726851193e-07,2,-52.0,-63.0,0.0,0.0,,,
7,2020-01-25,Snohomish,Washington,53061.0,1,0,822083.0,0.37482501541617835,1.2164221860809676e-06,5,-47.0,-56.0,0.0,0.0,,,
8,2020-01-26,Maricopa,Arizona,4013.0,1,0,4485414.0,0.4766837560609095,2.2294486083112952e-07,1,-57.0,,,,,,
9,2020-01-26,Los Angeles,California,6037.0,1,0,10039107.0,0.22413336252892868,9.961045339988905e-08,1,-51.0,,,,,,
10,2020-01-26,Orange,California,6059.0,1,0,3175692.0,0.4234982100522663,3.1489199834240855e-07,2,-57.0,,0.0,0.0,,,
11,2020-01-26,Cook,Illinois,17031.0,1,0,5150233.0,0.20998973879084507,1.941659726851193e-07,3,-51.0,-62.0,0.0,0.0,,,
12,2020-01-26,Snohomish,Washington,53061.0,1,0,822083.0,0.37482501541617835,1.2164221860809676e-06,6,-46.0,-55.0,0.0,0.0,,,
